1,1,122.02,334.91,133.57999999999998,56.31,1,1,1.0
1,2,209.38,251.48,93.47000000000003,38.859999999999985,1,1,0.0
1,3,733.89,265.44,72.36000000000001,39.35000000000002,1,1,1.0
2,1,96.9,337.91,138.29999999999998,58.69,1,1,1.0
2,2,209.38,251.48,93.47000000000003,39.03,1,1,0.0
2,3,719.71,268.8,72.36000000000001,37.5,1,1,1.0
3,1,74.14,339.1,140.66000000000003,62.89999999999998,1,1,1.0
3,2,209.38,251.48,93.47000000000003,39.190000000000026,1,1,0.0
3,3,707.22,270.85,76.07999999999993,39.549999999999955,1,1,1.0
4,1,47.78,345.09,144.22,62.900000000000034,1,1,1.0
4,2,209.38,251.48,93.47000000000003,39.349999999999994,1,1,0.0
4,3,692.11,272.34,77.18999999999994,38.960000000000036,1,1,1.0
5,1,21.42,348.69,148.38,62.889999999999986,1,1,1.0
5,2,209.38,251.48,93.47000000000003,39.51000000000002,1,1,0.0
5,3,678.5,273.83,77.19000000000005,39.56999999999999,1,1,1.0
6,1,0.0,348.69,148.24,67.70999999999998,1,1,1.0
6,2,209.38,251.48,93.47000000000003,39.66999999999999,1,1,0.0
6,3,665.07,274.2,77.18999999999994,41.80000000000001,1,1,1.0
7,1,0.0,353.5,125.47,67.69999999999999,1,1,1.0
7,2,209.38,251.48,93.47000000000003,39.83000000000001,1,1,0.0
7,3,650.3,275.99,78.40000000000009,43.31,1,1,1.0
8,1,0.0,357.09,102.71,70.11000000000001,1,1,1.0
8,2,209.38,251.48,93.47000000000003,40.00000000000003,1,1,0.0
8,3,634.8,278.31,81.5200000000001,43.31,1,1,1.0
9,1,0.0,363.08,77.55,58.72000000000003,1,1,1.0
9,2,209.38,251.48,93.47000000000003,40.16,1,1,0.0
9,3,620.1,279.47,81.52999999999997,43.309999999999945,1,1,1.0
10,1,0.0,367.88,48.2,58.70999999999998,1,1,1.0
10,2,209.38,251.48,93.47000000000003,40.32000000000002,1,1,1.0
10,3,604.25,281.79,84.25,43.31,1,1,1.0
